User_ID,percChange_1617,percChange_1718,percChange_1819,cluster_IDX,age,household_size,ownership,number_pets,household_has_garden,household_garden_area,household_has_pool,household_pool_volume,children9,children5_9,children0_4,number_bathrooms,number_adults,environmental_attitude,hausehold_has_irrigation_system,house_has_plants,balcony_has_plants,balcony_has_irrigation,number_toilets,number_faucets,number_bathtubs,number_showers,number_tub_showers,number_dishwasher_simple,number_washing_machine_simple,number_ClothesWasher,clothesWasher_efficiency,clothesWasher_ecomode,clothesWasher_timer,number_DishWasher,dishWasher_efficiency,dishWasher_ecomode,dishWasher_timer
AGM02079825001,1.9579880227383994,3.0182386895233804,4.150325704609077,7,43.0,83.0,True,0.0,False,0.0,False,0.0,0.0,0.0,0.0,1.0,1.0,Medium environmental sensitivity,False,False,False,False,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,A+,0.0,1.0,0.0,0,0.0,0.0
AGM02079896001,-19.59923370263226,29.672484414957438,44.21485878216025,9,100.0,65.0,False,0.0,False,0.0,False,0.0,0.0,0.0,0.0,1.0,1.0,High environmental sensitivity,False,False,False,False,1.0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,A+,0.0,0.0,1.0,A+,0.0,0.0
AGM02089583001,-28.02009180378867,-37.20604354132621,-39.10598923910416,4,8.0,138.0,True,3.0,False,0.0,False,0.0,0.0,2.0,0.0,3.0,2.0,Medium environmental sensitivity,False,False,False,False,3.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,A++,1.0,1.0,1.0,A+++,1.0,1.0
AGM02091404001,-52.881995217490584,-54.42774883949204,-20.36606551374411,5,10.0,70.0,True,0.0,False,0.0,False,0.0,0.0,0.0,0.0,2.0,1.0,Medium environmental sensitivity,False,False,False,False,2.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,0,1.0,0.0,1.0,0,1.0,0.0
AGM02092434001,-7.142439550453814,16.416913646057356,-2.9237007421319645,8,30.0,100.0,True,0.0,False,0.0,False,0.0,0.0,0.0,2.0,2.0,2.0,High environmental sensitivity,False,False,True,False,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,A+++,0.0,1.0,0.0,0,0.0,0.0
AGM02101709001,-7.255326643569614,-31.5135321636836,-16.740752316511195,3,29.0,90.0,True,0.0,False,0.0,False,0.0,0.0,0.0,1.0,2.0,2.0,Medium environmental sensitivity,False,False,True,False,2.0,2.0,0.0,0.0,2.0,1.0,1.0,1.0,A,1.0,1.0,1.0,A,1.0,1.0
AGM02120870001,-10.755070425381026,-21.77772267711596,-17.218920092854983,4,15.0,60.0,False,1.0,False,0.0,False,0.0,0.0,0.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,False,False,2.0,2.0,1.0,1.0,0.0,0.0,1.0,1.0,A+++,1.0,1.0,0.0,0,0.0,0.0
AGM02135770001,-5.017006427695138,-28.869921514054425,-35.72663332737923,3,50.0,140.0,True,0.0,False,0.0,False,0.0,2.0,1.0,0.0,2.0,2.0,Low environmental sensitivity,False,False,False,False,2.0,1.0,0.0,0.0,2.0,1.0,1.0,1.0,0,1.0,0.0,1.0,0,1.0,0.0
AGM02140298001,-16.69469476301203,-18.630494480370814,-25.329469777116127,4,15.0,85.0,True,2.0,False,0.0,False,0.0,0.0,0.0,0.0,2.0,2.0,Medium environmental sensitivity,False,False,False,False,2.0,3.0,0.0,0.0,2.0,1.0,1.0,1.0,A++,1.0,1.0,1.0,A++,1.0,1.0
AGM02150997002,11.92890962809902,-4.3838052466554585,9.54045408367794,2,5.0,70.0,True,2.0,False,0.0,False,0.0,0.0,0.0,0.0,2.0,2.0,High environmental sensitivity,False,False,False,False,2.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,A,1.0,0.0,1.0,A,1.0,0.0
